repeated_concept_cluster,question_count,years_seen,year_count,chapters,example_question
Business Finance :: financing decision,90,"2022, 2023, 2024, 2025",4,Business Finance,"Debt is _______ but is more _______ for a business, the payment of interest and the return of principal is obligatory for the business."
Nature and Significance of Management :: functions of management,90,"2022, 2023, 2024, 2025",4,Nature and Significance of Management,Identify the function of management highlighted in the above case.
Principles of Management :: Fayol principles,78,"2022, 2023, 2024, 2025",4,Principles of Management,Match List-I with List-II on the basis of Management Principles
Marketing :: marketing mix,73,"2022, 2023, 2024, 2025",4,Marketing,Identify the function performed by Financial Market from the following statement: 'Holders of assets can readily sell their financial assets through the mechanism of the financial market.'
Staffing :: staffing process,60,"2022, 2023, 2024, 2025",4,Staffing,"Match List-I with List-II on the basis of meaning and name of the concept

| List-I | List-II |
| --- | --- |
| (A) Choosing the most appropriate candidate | (I) Selection |
| (B) Candidate is given an introduction to superiors | (II) Orientation |
| (C) Learning the skills related to a job | (III) Recruitment |
| (D) Searching for prospective employees | (IV) Training |"
Directing :: communication,56,"2022, 2023, 2024, 2025",4,Directing,The informal organisation offers many benefits. Important among them are given below:
Business Environment :: dimensions,54,"2022, 2023, 2024, 2025",4,Business Environment,Under which dimension of business environment is 'Online Booking of Air Tickets' included?
Consumer Protection :: consumer rights,49,"2022, 2023, 2024, 2025",4,Consumer Protection,"Identify the Consumer Right - 'The consumer has the freedom to access variety of products at competitive prices. This implies that the marketer should offer a wide variety of products in terms of quality, brand, prices, size, etc.'"
Planning :: types of plans,49,"2022, 2023, 2024, 2025",4,Planning,Which of the following options are correct ?
Controlling :: meaning and importance,47,"2022, 2023, 2024, 2025",4,Controlling,Identify the correct sequence of Controlling process:
Marketing :: marketing meaning,46,"2022, 2023, 2024, 2025",4,Marketing,The market where existing securities are bought and sold is known as _______.
Nature and Significance of Management :: meaning and objectives,46,"2022, 2023, 2024, 2025",4,Nature and Significance of Management,Akash Industries has installed a waste recycling plant in its premises and does not dump its waste material anymore. This plant is providing employment to many people. Identify the objective of management which the company is achieving by doing this effective activity.
Marketing :: product,43,"2022, 2023, 2025",3,Marketing,Manju was shopping in a grocery store. She picked up a product and started searching for the FPO mark on the package. What was the product in her hand?
Staffing :: training and development,39,"2022, 2023, 2024, 2025",4,Staffing,It is a joint programme of training in which educational institutions and business firms cooperate.' Identify the method of training.
Directing :: meaning and importance,32,"2022, 2023, 2024, 2025",4,Directing,Which of the following is a process of incitement or inducing subordinates to act in a desired manner to achieve organisational goals?
Directing :: Maslow hierarchy,28,"2022, 2024, 2025",3,Directing,Find the correct sequence of needs as given by Maslow in his Need Hierarchy Theory:
Directing :: motivation,28,"2022, 2023, 2025",3,Directing,"Arrange the following stages of motivation in order. 

 (A) Unsatisfied need 

 (B) Search behavior 

 (C) Drives 

 (D) Reduction of tension 

 Choose the correct answer from the options given below:"
Controlling :: control process,26,"2022, 2023, 2024, 2025",4,Controlling,Only a 5% increase in labour cost may be more troublesome than a 15% increase in postal charges.' Identify the concept pointed out in the direction.
Directing :: leadership,26,"2022, 2023, 2025",3,Directing,"__________ is a philosophy that implies selective dispersal of authority because it propagates the belief that people are competent, capable and resourceful."
Principles of Management :: techniques of scientific management,25,"2022, 2023, 2024, 2025",4,Principles of Management,"The aim of which technique given by F.W. Taylor is to reduce a given line or a product to fixed types, sizes and characteristics?"
Business Environment :: meaning and features,24,"2022, 2023, 2024, 2025",4,Business Environment,Which of the following does not characterise business environment?
Marketing :: promotion,24,"2022, 2023, 2025",3,Marketing,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Promotion Mix | Explanation |
| --- | --- |
| (A) Advertising | (I) Minimises Wastage of Efforts |
| (B) Sales Promotion | (II) Manages public opinion of an organisation |
| (C) Public Relations | (III) Encourages the buyers to make an immediate purchase |
| (D) Personal Selling | (IV) Enhances customer satisfaction and confidence |

Choose the correct answer from the options given below:"
Organising :: organisation structure,24,"2022, 2023, 2025",3,Organising,__________ comprises of separate business units or divisions wherein each unit has a manager responsible for performance and who has authority over the unit.
Consumer Protection :: importance,23,"2022, 2023, 2024, 2025",4,Consumer Protection,"Identify the importance of consumer protection discussed in the following lines - 'Business organisations make money by selling goods and providing services to consumers. Thus, consumers form an important group among the many stakeholders of business and like other stakeholders, their interest has to be well taken care of.'"
Organising :: meaning and process,23,"2022, 2023, 2024, 2025",4,Organising,Identify the correct sequence of Organising function of management.
Entrepreneurship Development :: concept and functions,23,"2022, 2023, 2025",3,Entrepreneurship Development,Which of the following factor is NOT responsible for emergence of entrepreneurship?
Principles of Management :: Taylor scientific management,23,"2022, 2024, 2025",3,Principles of Management,Identify the Principle of Management where Taylor pioneered the introduction of method of scientific inquiry into the domain of management practice.
Nature and Significance of Management :: features of management,22,"2022, 2023, 2024, 2025",4,Nature and Significance of Management,Coordination unifies unrelated interests into purposeful work activity.' Identify the nature of coordination.
Organising :: delegation,22,"2022, 2023, 2024, 2025",4,Organising,"Match List-I with List-II on the basis of meaning and the term

| List-I<br><span class=""subheader"">(Meaning)</span> | List-II<br><span class=""subheader"">(Term)</span> |
| --- | --- |
| (A) Right to command | (I) Answerability |
| (B) Obligation to perform task | (II) Delegation |
| (C) Accountability | (III) Authority |
| (D) Basis of management hierarchy | (IV) Responsibility |"
Business Finance :: investment decision,22,"2022, 2024, 2025",3,Business Finance,A proper matching of funds requirements and their availability is sought to be achieved by _______.
Business Finance :: working capital,21,"2022, 2023, 2025",3,Business Finance,"""Standardisation refers to the process of setting standards for every business activity; it can be standardisation of process, raw material, time, product, machinery, methods or working conditions"". The phenomenon of standardisation was specified by:"
Nature and Significance of Management :: levels of management,21,"2022, 2023, 2025",3,Nature and Significance of Management,"Anshu works in the capacity of Chief Executive Officer, responsible for formulating organizational goals and strategies.
At which level is Anshu working?"
Staffing :: selection,21,"2022, 2024, 2025",3,Staffing,Identify the correct sequence of the selection process:
Planning :: limitations,19,"2022, 2023, 2025",3,Planning,"Identify the features of Management as a Science.
(A) Systematised body of knowledge
(B) Universal Validity
(C) Principles based on experimentation
(D) Creativity
Choose the correct answer from the options given below:"
Staffing :: recruitment,19,"2022, 2023, 2025",3,Staffing,"Which of the following are the limitations of internal sources of recruitment? 

 (A) The scope for induction of fresh talent is reduced. 

 (B) Employees are motivated to improve their performance. 

 (C) The employees may not take challenging tasks if they are sure of time-bound promotions. 

 (D) Internal recruitment may boost the competitive environment in the organisation. 

 Choose the correct answer from the options given below:"
Planning :: importance,18,"2022, 2023, 2024, 2025",4,Planning,"If the goals are well defined, employees are aware of what the organisation has to do and what they must do to achieve those goals.' Identify the significance of managerial function highlighted in this statement."
Planning :: planning process,18,"2022, 2023, 2024, 2025",4,Planning,Identify the correct sequence of steps under the Planning function
