canonical_question_id,ai_suggested_chapter,ai_suggested_subtopic,ai_suggested_question_pattern,ai_suggested_difficulty,ai_suggested_ncert_heading,ai_suggested_micro_concept,micro_concept_confidence,micro_concept_note,llm_label,rule_label,embedding_label,bm25_label,final_confidence,review_reason,taxonomy_mismatch_reason,question_text
cq_000001_11b25b0dd4,Nature and Significance of Management,levels of management,statement true/false,easy,Levels Of Management,management,0.82,,Nature and Significance of Management :: levels of management,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: levels of management,Nature and Significance of Management :: levels of management,0.69,confidence=0.69; agreement=3/4,,"Q.10
Which of the following statement is true regarding the nature of
Management?"
cq_000002_43cc01710c,Nature and Significance of Management,meaning and objectives,principle-identification,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.37
All the units of an organisation should move towards the same objectives
through coordinated and focused efforts. Identify this principle of
management."
cq_000004_d8b9d61134,Organising,organisation structure,definition-based,medium,Organisation Structure,delegation,0.82,,Organising :: organisation structure,Nature and Significance of Management :: meaning and objectives,Organising :: organisation structure,Organising :: organisation structure,0.65,confidence=0.65; agreement=3/4,,"Q.42
Read the passage and answer the following questions.
 

--- Page 10 ---
Wipro Technologies, one of India's largest IT solutions providers,
restructured its organization in its bid to compete globally with giants like
IBM and Accenture. This restructuring aimed to improve customer
orientation and operational efficiency, critical to Wipro's ambition of
becoming a global technology leader.
 
The company transitioned from a centralized management system to a
decentralized structure, dividing its operations into several self-sufficient
subsidiaries focused on specific product lines, such as
telecommunications, engineering, and financial services. Each subsidiary
operates independently, managing its personnel, accounting, and
administrative functions. This decentralization empowered business
leaders to take greater responsibility for growth and eliminated an entire
layer of executives to streamline operations.
 
Azim Premji, Wipro's then-chairman, emphasized the importance of this
shift, noting that it gave leaders more autonomy and enhanced decision-
making at the operational level. This organizational change helped Wipro
achieve specialization and allowed better alignment of resources with
customer needs.
 
Despite the advantages of decentralization, including flexibility, faster
decision-making, and enhanced accountability, it also posed challenges,
such as coordination among subsidiaries and maintaining consistency in
strategic objectives. Wipro addressed these challenges by clearly defining
roles and responsibilities across its new structure.
What significant organizational change did Wipro make during
restructuring?"
cq_000007_9bf3ad1ce5,Controlling,control process,chronology/process order,easy,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: meaning and importance,Controlling :: control process,Controlling :: control process,0.92,taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance,,"Q.12
Choose the correct order of controlling process."
cq_000008_ed220d2a7f,Nature and Significance of Management,levels of management,definition-based,easy,Levels Of Management,management,0.82,,Nature and Significance of Management :: levels of management,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: levels of management,Nature and Significance of Management :: levels of management,0.66,confidence=0.66; agreement=3/4,,"Q.19
The senior-most executives of the organisation are usually referred to as
the chairman, the chief executive officer, chief operating officer, president
and vice-president. They belong to which level of management?"
cq_000009_c1d969901f,Nature and Significance of Management,meaning and objectives,definition-based,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.14
Which of the following is a comprehensive plan for accomplishing
organizational objectives?"
cq_000010_c7e2a14e1f,Principles of Management,Fayol principles,definition-based,easy,Fayol Principles,Fayol principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,0.53,confidence=0.53; agreement=4/4; taxonomy mismatch: micro_concept not allowed for chapter: principles; taxonomy mismatch: micro_concept not allowed for chapter: principles; taxonomy mismatch: micro_concept not allowed for chapter: principles; taxonomy mismatch: micro_concept not allowed for chapter: principles; taxonomy mismatch: micro_concept not allowed for chapter: principles; taxonomy mismatch: micro_concept not allowed for chapter: principles,,"Q.4
Which of the following is concerned with obtaining, utilizing and
maintaining a satisfactory and satisfied work force?"
cq_000011_c6c21691ed,Business Finance,financing decision,definition-based,medium,Financing Decision,financing decision,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: Capital Budgeting,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: financing decision,0.75,confidence=0.75; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.47
Read the passage and answer the following questions:
GreenTech Solutions, a renewable energy company, focuses on achieving
financial stability and growth through robust financial management. The
company ensures efficient allocation of business finance to expand
operations, adopt new technology, and maintain a competitive edge. Its
financial planning is centered on long-term sustainability, balancing
profitability with eco-friendly initiatives.
 

--- Page 13 ---
To optimize its capital structure, GreenTech maintains a balanced mix of
debt and equity, minimizing the cost of capital while ensuring financial
flexibility. The firm undertakes thorough capital budgeting processes to
evaluate projects like setting up new solar farms, ensuring only viable
investments are pursued. Tools like Net Present Value (NPV) and Internal
Rate of Return (IRR) guide decision-making.
 
GreenTech's dividend decision aligns with its growth strategy. While
retaining a significant portion of earnings for reinvestment, the company
ensures consistent dividends to satisfy shareholders. This approach
strengthens investor confidence while funding expansion plans.
 
Efficient working capital management ensures smooth day-to-day
operations. By optimizing cash flow, managing inventory, and negotiating
favorable credit terms with suppliers, GreenTech avoids liquidity issues
while meeting short-term obligations.
 
Through prudent financial strategies, GreenTech achieves its goal of
profitability and sustainability, setting an example in the renewable energy
sector.
 
Which process evaluates the viability of long-term investment projects?"
cq_000012_cda2075649,Nature and Significance of Management,meaning and objectives,definition-based,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.93,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.1
Planning is an important function of management which involves defining
the following:"
cq_000013_c56c0a4019,Nature and Significance of Management,features of a profession,feature-identification,easy,Features Of A Profession,features of a profession,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: features of a profession,Nature and Significance of Management :: features of management,Nature and Significance of Management :: features of management,Nature and Significance of Management :: features of management,0.33,confidence=0.33; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features of a profession; taxonomy mismatch: subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features of a profession,subtopic not allowed for chapter: features of a profession; micro_concept not allowed for chapter: features of a profession,"Q.26
Which of the following are identified as features of a profession?"
