canonical_question_id,chapter,subtopic,micro_concept,question_type,difficulty_estimate,correct_option,ai_confidence,verification_source,notes
cq_001113_8b315ff88f,Nature and Significance of Management,meaning and objectives,types of plans,definition-based,easy,B,0.98,ai_verified,"Caveat Emptor translates to 'Let the buyer beware', aligning with the definition of consumer rights in the context of management principles."
cq_001660_f57807f4b6,Business Finance,financial management,financial terms,definition-based,easy,EBIT,0.95,ai_verified,"EBIT stands for Earnings Before Interest and Taxes, a standard financial metric."
cq_001654_2cf0571fbe,Staffing,selection,selection process,match-the-following,medium,A,0.9,ai_verified,"Intelligence Tests are used to indicate a person's learning ability, matching the description in List-I."
cq_001649_973d5aabe3,Organising,delegation,decentralisation,statement true/ false,hard,TRUE,0.85,ai_verified,"The passage describes Wipro's shift to a decentralised management system, supporting the statement as true."
cq_000536_981343ed4c,Consumer Protection,consumer responsibilities,consumer action,definition-based,easy,C,0.97,ai_verified,"Ananya's first action was to write a formal complaint to the store, reflecting consumer responsibility to address grievances."
cq_001086_ea9e3753aa,Marketing,marketing mix,marketing mix,definition-based,easy,C,0.98,ai_verified,Speciality products require significant consumer search effort and time.
cq_001102_572536a872,Directing,Maslow hierarchy,maslow hierarchy,match-the-following,medium,C,0.95,ai_verified,"Stability of income aligns with Safety/Security Needs, hunger with Physiological Needs, self-respect with Esteem Needs, and acceptance with Affiliation/Belonging Needs."
cq_000491_11c2126b4b,Marketing,marketing mix,marketing mix,definition-based,easy,D,0.97,ai_verified,"Rare collections like artwork or antiques are high-involvement, low-frequency purchases, characteristic of specialty products."
cq_000181_48b5d0f9fc,Marketing Management,Brand Management,product mix,definition-based,easy,B,0.94,ai_verified,Aroma Coffee House emphasizes sustainability as its primary branding focus.
cq_001655_ce72bd3678,Business Environment,meaning and features,taken,definition-based,easy,BLANK,0.0,ai_verified,Insufficient options provided to determine the correct answer.
cq_001650_e37f992d78,Planning,types of plans,types of plans,match-the-following,medium,BLANK,0.9,ai_verified,Options provided are incomplete; cannot determine correct match.
cq_000780_5a6c44c730,Staffing,training and development,training,definition-based,easy,C,0.95,ai_verified,"Rahul implemented a reward system for exceeding targets, aligning with motivational tools in staffing."
cq_000530_57444d7e21,Staffing,employee retention,types of plans,definition-based,easy,B,0.9,ai_verified,Infosys faces rapid technological advancements as a major staffing challenge.
cq_000415_c72bce09cb,Business Finance,Capital Structure,types of plans,definition-based,easy,D,0.98,ai_verified,"Factors affecting capital structure: stock market conditions, control, risk considerations (excluding fiscal policy)."
cq_001669_06d6979e41,Principles of Management,Fayol principles,principles,definition-based,easy,BLANK,0.85,ai_verified,Options for offloading workload are missing; cannot assign a correct option.
cq_000013_c56c0a4019,Nature and Significance of Management,features of a profession,features,feature-identification,easy,BLANK,0.0,ai_verified,"Options A, C, and D are valid features of a profession, but option B ('Existence of theoretical knowledge') is too generic and not a distinct feature. Since the correct option is not provided, it remains blank."
cq_000163_fc8c0e8b07,Staffing,Compensation and Benefits,compensation,definition-based,easy,D,1.0,ai_verified,"Employer-paid insurance is an indirect form of compensation, aligning with the definition provided."
cq_001716_e3c8ca22a1,Entrepreneurship Development,competencies and values,entrepreneur characteristics,case-study diagnosis,easy,BLANK,0.0,ai_verified,"The principle violated is 'Equality and Fairness' (or 'No Discrimination'), but it is not listed among the options, so the correct option remains blank."
cq_000647_9dde582eeb,Entrepreneurship,Entrepreneurial Competencies,entrepreneur characteristics,statement true/ false,medium,C,1.0,ai_verified,"The statement describes self-confidence, which is a recognized entrepreneurial competency."
cq_001709_3363662d19,Entrepreneurship Development,concept and functions,return,definition-based,easy,BLANK,0.0,ai_verified,"Without additional information on the selection criteria for projects A and B, the rate of return for Project B (X percent) cannot be determined, so the correct option remains blank."
cq_000046_a912619cb6,Principles of Management,Principle of Authority and Responsibility,delegation,statement true/false,easy,,0.34,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_001644_d3d3f2613e,Entrepreneurship Development,competencies and values,entrepreneur characteristics,statement true/false,easy,BLANK,0.85,ai_verified,Eliciting support from others aligns with the entrepreneurial competency of networking or stakeholder engagement.
cq_001703_9021421468,Directing,supervision,leadership style,match-the-following,medium,BLANK,0.8,ai_verified,"Matching definitions requires precise alignment of terms like supervision, motivation, leadership, and communication."
cq_000289_5d2ef5cc23,Controlling,objectives of standardisation,types of plans,feature-identification,easy,B,0.95,ai_verified,"Standardisation aims at fixed types, interchangeability, and quality standards, excluding performance appraisal of HR only."
cq_000054_539947ac7d,Directing,motivation,types of plans,feature-identification,hard,BLANK,0.75,ai_verified,"Rahul's reward system and training sessions are motivational tools, but the exact term (e.g., incentive plan, training) is not specified in options."
cq_000328_827e645e73,Nature and Significance of Management,social objective,types of management objectives,case-study diagnosis,hard,C,0.98,ai_verified,"The statement reflects the social objective of management, which involves helping the community and society, such as providing jobs to poor women."
cq_000331_5db5e4b926,Production and Operations Management,Economies of Scale,cost reduction through increased production,case-study diagnosis,hard,D,0.97,ai_verified,The decrease in production cost as order volume increases is characteristic of economies of scale.
cq_000885_e125c094fa,Business Finance,Project Appraisal,components of feasibility analysis,definition-based,easy,B,0.99,ai_verified,"Feasibility analysis includes Economic, Technical, and Financial analyses; personal analysis is not a standard component."
cq_000294_e2e329f26c,Entrepreneurship Development,Motivation for Entrepreneurship,internal motivators,definition-based,easy,A,0.96,ai_verified,Passion is an internal factor that drives individuals to become entrepreneurs.
cq_000454_4d787abcfa,Directing,principles of directing,principles vs. actions,feature-identification,easy,D,0.95,ai_verified,"Corrective action is an outcome of directing, not a principle; principles include unity of command, harmony of objectives, and leadership."
cq_000144_d4153814d3,Nature and Significance of Management,features of a profession,features,feature-identification,easy,A,0.98,ai_verified,"Option A correctly lists the identified features of a profession: well-defined body of knowledge, entry restricted by examination/education, and dominance of service motive."
cq_000135_97ce943ede,Directing,supervision,supervision,feature-identification,hard,B,0.85,ai_verified,"Priya's role of overseeing day-to-day activities, guiding the team, and resolving conflicts aligns with the element of supervision in directing."
cq_000620_ad71cee08b,Nature and Significance of Management,dimensions of management,management,definition-ased,easy,A,0.97,ai_verified,"Management of Public is not one of the three main dimensions (People, Work, Operations)."
cq_000213_453e668db5,Consumer Protection,consumer products,purchased,definition-ased,easy,C,0.99,ai_verified,A pen bought by a shopkeeper for personal daily use is a consumer product.
cq_000211_1e8a4fe8ec,Financial Management,Profitability Ratios,financial risk,definition-ased,easy,B,0.96,ai_verified,EBIT stands for Earnings Before Interest and Tax.
cq_000255_41cec094d3,Marketing,competition and response strategies,promotion mix,statement true/False,easy,A,0.95,ai_verified,"Options A, B, and D are valid competitive responses; C is unethical and thus incorrect."
cq_000761_395f387de5,Functions of Management,Staffing,staffing,definition-based,easy,A,0.98,ai_verified,"Staffing directly concerns obtaining, utilizing, and maintaining a workforce."
cq_000217_7fd87c158c,Planning,Budgeting,types of plans,feature-identification,easy,A,0.96,ai_verified,"Budgets are quantified plans for future periods, expressed numerically, and project revenues/expenses."
cq_000515_af6f267819,Nature and Significance of Management,features of management as an art,entrepreneur characteristics,feature-identification,easy,D,0.94,ai_verified,"Management as an art is characterized by practice, creativity, theoretical knowledge, and open entry; thus, 'Restricted entry' is not a feature."
cq_000946_aa0bb61b2f,Entrepreneurship Development,functions of an entrepreneur,entrepreneur,feature-identification,easy,B,0.97,ai_verified,Entrepreneurs expand economic activities; decreasing the spectrum is contrary to their role.
cq_000916_394fa288cd,Nature and Significance of Management,Organizational Structure and Communication Networks,superior,definition-based,easy,A,0.98,ai_verified,"Inverted V network allows communication between subordinate, direct superior, and higher superior."
cq_000771_5682d74405,Marketing,product classification,products,definition-based,easy,A,0.97,ai_verified,Shopping products and specialty products involve higher shopping effort compared to convenience products.
cq_000801_0110df0efc,Financial Management,Current Assets,financial,definition-based,easy,D,0.99,ai_verified,Marketable securities are highly liquid and can be quickly converted into cash.
cq_000456_287f14e864,Nature and Significance of Management,decentralization,management,definition-based,easy,A,0.96,ai_verified,"Decentralization leads to quicker decisions, better decision quality, and work experience for middle managers; it does not ensure strict control nor is control the primary aim."
cq_000930_75208713d0,Marketing,Promotion Mix,recruitment,definition-based,easy,A,0.95,ai_verified,"Social media influencers are a prominent modern promotional tool, especially for engaging target audiences."
cq_000194_f9cdbf97f5,Staffing,meaning and importance,staffing,definition-based,easy,D,0.98,ai_verified,"Staffing refers to the process of managing work force, i.e., employees, which aligns with option D."
cq_001083_8c3a69dcee,Physical Distribution,Functions of Physical Distribution,physical distribution functions,definition-based,easy,A,0.97,ai_verified,"Key activities in physical distribution include transportation, warehousing, order processing, and inventory control."
cq_001028_bfb1048d77,Marketing,Pricing,pricing objectives,chronology/process order,medium,B,0.95,ai_verified,The objective of charging low prices to capture market share is market share leadership.
cq_000206_c92585d6c0,Business Environment,environmental scanning techniques,environmental scanning,definition-based,easy,B,0.96,ai_verified,"Budgetary analysis is not a technique for environmental scanning; SWOT, PESTAL, and industry analysis are."
cq_000737_f49de07d7f,Staffing,Compensation and Benefits,types of direct financial payment,definition-based,easy,A,0.94,ai_verified,"Direct financial payments can be time-based or performance-based, matching option A."
cq_000952_d5f39a0b5f,Business Finance,Cost Classification,variable,definition-based,easy,C,0.98,ai_verified,"Commission depends on sales volume, making it variable; salary is fixed."
cq_000212_a0c4e5df8a,Business Finance,Owners' Funds,equity,definition-based,easy,A,0.97,ai_verified,"Debentures are debt instruments, not owners' equity."
cq_000041_cf97dba986,Organising,divisional structure,delegation,statement true/false,hard,BLANK,0.85,ai_predicted,"Passage describes decentralisation; exact statement missing, thus cannot assign correct option."
cq_000997_78e8ea691c,Nature and Scope of Business,Profession,profession,feature-identification,easy,B,0.96,ai_verified,Universal validity is not a basic feature of a profession.
cq_000859_038aea58f1,Business Environment,Consumer Protection and Legal Aspects,beware,definition-based,easy,B,0.99,ai_verified,Caveat Venditor translates to 'Let the seller beware'.
cq_000757_c808b57243,Financial Management,Leverage Ratios,financial risk,definition-based,easy,A,0.36,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_000630_0f5392a103,Business Finance,financial statements and ratios,financial risk,definition-based,easy,B,0.99,ai_verified,"EBIT stands for Earnings Before Interest and Taxes, matching option B."
cq_000603_02090f5eb5,Marketing,product classification,products,match-the-following,medium,C,0.98,ai_verified,"Speciality products match rare artwork (I), Shopping products match furniture & clothes (II), Convenience products match toothpaste & medicines (IV), Capital items match hand tools & elevators (III)."
cq_000571_77b7aadb29,Marketing,Classification of Products,products,match-the-following,medium,C,0.97,ai_verified,"Industrial products match raw materials, installations, equipment (II); Convenience products match medicines, newspapers, toothpaste (IV); Speciality products match jewelry, radio, furniture (III); Shopping products match rare artwork and antiques (I)."
cq_000852_f9ce8cc1b0,Nature and Significance of Management,types of business tests,tests,match-the-following,medium,C,0.96,ai_verified,"Trade Tests measure existing skills (I); Intelligence Tests indicate emotions & maturity (II); Personality Tests measure emotions, reactions (II); Aptitude Tests measure potential for learning new skills (IV)."
cq_000814_0d5e99952d,Business Finance,current assets,financial risk,definition-based,easy,B,0.98,ai_verified,"Advances received from customers are not classified as current assets; they are considered as receivables or cash equivalents, but the question's context aligns with NCERT's definition of current assets."
cq_000248_b80b0d1fe4,Principles of Management,Techniques of Scientific Management,scientific management,definition-based,easy,D,0.97,ai_verified,"In Fayol's functional foremanship, the Planning Incharge oversees Instruction Card Clerk, Inspector, and Time and Cost Clerk, excluding the Disciplinarian."
