source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,0185591f34083b6a27,70,"Q.10
Which of the following statement is true regarding the nature of
Management?",,,,,,,,,statement-based,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.43,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,02a3b2bd25916dfb82,290,"Q.37
All the units of an organisation should move towards the same objectives
through coordinated and focused efforts. Identify this principle of
management.",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,02a536f6131cbaee38,154,"Q.20
Arrange the following needs of Maslow's need hierarchy theory in reverse
chronological order.

--- Page 5 ---",,,Security needs,Esteem needs,Self actualisation needs,Affiliation needs Choose the correct answer from the options given below:,,,chronology,easy,Unit VII,Directing,Maslow hierarchy,"maslow, esteem, self actualisation",Directing :: Maslow hierarchy,0.73,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,02b6079bbe41204d29,338,"Q.43
Read the passage and answer the following questions.
 
Wipro Technologies, one of India's largest IT solutions providers,
restructured its organization in its bid to compete globally with giants like
IBM and Accenture. This restructuring aimed to improve customer
orientation and operational efficiency, critical to Wipro's ambition of
becoming a global technology leader.
 
The company transitioned from a centralized management system to a
decentralized structure, dividing its operations into several self-sufficient
subsidiaries focused on specific product lines, such as
telecommunications, engineering, and financial services. Each subsidiary
operates independently, managing its personnel, accounting, and
administrative functions. This decentralization empowered business
leaders to take greater responsibility for growth and eliminated an entire
layer of executives to streamline operations.
 
Azim Premji, Wipro's then-chairman, emphasized the importance of this
shift, noting that it gave leaders more autonomy and enhanced decision-
making at the operational level. This organizational change helped Wipro
achieve specialization and allowed better alignment of resources with
customer needs.
 
Despite the advantages of decentralization, including flexibility, faster
decision-making, and enhanced accountability, it also posed challenges,
such as coordination among subsidiaries and maintaining consistency in
strategic objectives. Wipro addressed these challenges by clearly defining
roles and responsibilities across its new structure.
What was the key challenge faced by the Wipro during its restructuring
process?",,,,,,,,,case-based,medium,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,04f31ccb71169ca027,326,"Q.42
Read the passage and answer the following questions:
 
Aroma Coffee House, a boutique café, aims to expand its brand by
focusing on the marketing mix. The product is its artisanal coffee, known
for unique flavors and organic ingredients. The café ensures appealing
packaging, using recyclable and aesthetically designed coffee bags to
align with eco-conscious consumers. Its branding strategy emphasizes
sustainability and local community support, making it a trusted choice.
 
The pricing is premium, reflecting the high quality of the coffee be",,,,,,,A,Dubuddy CUET Business Studies solved papers linked file,direct,easy,Unit X,Marketing,product,"product, branding, packaging",Marketing :: product,0.77,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,08b4c3c156b779cd45,246,"Q.32
Which of the following is NOT an aspect of staffing?",,,,,,,,,direct,easy,Unit VI,Staffing,meaning and importance,staffing,Staffing :: meaning and importance,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,ting,09769d92f14e9a630a,90,"Q.12
Choose the correct order of controlling process.",,,Comparison of actual performance with standards,Setting performance standards & measurement of actual performance,Taking corrective action,Analysing deviations Choose the correct answer from the options given below:,,,chronology,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,097cb57def7a08d914,146,"Q.19
The senior-most executives of the organisation are usually referred to as
the chairman, the chief executive officer, chief operating officer, president
and vice-president. They belong to which level of management?",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,09f40146f91cf07201,106,"Q.14
Which of the following is a comprehensive plan for accomplishing
organizational objectives?",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,objectives,Nature and Significance of Management :: meaning and objectives,0.47,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,0b6eccbbca699bb04d,26,"Q.4
Which of the following is concerned with obtaining, utilizing and
maintaining a satisfactory and satisfied work force?",,,,,,,,,direct,easy,Unit II,Principles of Management,Fayol principles,,Principles of Management :: Fayol principles,0.17,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,yes
