chapter,subtopic,priority_tier,raw_score,source_weighted_frequency,recency_score,question_count,roi,top_pattern,top_micro_concept,difficulty,study_hours_required,recommended_action,data_status,score_basis,section_list,unit_list,concept_type
Structured Query Language I,text functions,Tier 1 = CS core,5.0,0,0,0,0,SQL output / query identification,text functions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language II,COUNT star,Tier 1 = CS core,5.0,0,0,0,0,definition-based,COUNT star,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Structured Query Language II,GROUP BY HAVING ORDER BY,Tier 1 = CS core,5.0,0,0,0,0,SQL output / query identification,GROUP BY HAVING ORDER BY,medium,2.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language II,aggregate functions,Tier 1 = CS core,5.0,0,0,0,0,SQL output / query identification,aggregate functions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language II,date functions,Tier 1 = CS core,5.0,0,0,0,0,SQL output / query identification,date functions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language II,union intersection minus cartesian product join,Tier 1 = CS core,5.0,0,0,0,0,SQL output / query identification,union intersection minus cartesian product join,medium,2.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language I,CREATE DROP ALTER,Tier 1 = CS core,4.95,0,0,0,0,definition-based,CREATE DROP ALTER,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Structured Query Language I,DDL DQL DML,Tier 1 = CS core,4.95,0,0,0,0,definition-based,DDL DQL DML,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Structured Query Language I,INSERT UPDATE DELETE,Tier 1 = CS core,4.95,0,0,0,0,definition-based,INSERT UPDATE DELETE,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Structured Query Language I,SELECT FROM WHERE,Tier 1 = CS core,4.95,0,0,0,0,SQL output / query identification,SELECT FROM WHERE,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
