chapter,subtopic,micro_concept,question_count,weighted_score,recency_score,example_question
Nature and Significance of Management,functions of management,management,47,30.55,25.48,Identify the function of management highlighted in the above case.
Business Environment,dimensions,environment,44,28.6,25.7075,"Q.25
Which of the following is related to economic dimension of business
environment?"
Business Finance,financing decision,financial risk,42,27.3,23.8225,"Q.44
Passage 1: Detrimental debt
On the basis of this passage, answer the questions from Q. No. 41 to Q. No.
45
Even successful businesses have debt, but how much is too much?
Learning how to manage debt is what can put you ahead. Taking on the
right amount of debt can mean the difference between a business
struggling to survive and one that can respond nimbly to changing
economic or market conditions. A number of circumstances may justify
acquiring debt. As a general rule, borrowing makes the most sense when
you need to bolster cash flow or finance growth or expansion. But while
debt can provide the leverage you need to grow, too much debt can
strangle your business. So the question is: How much debt is too much?"
Marketing,product,product mix,39,25.35,21.775000000000002,"Q.23
List-I
List-II"
Staffing,recruitment,recruitment,38,24.7,17.8425,"Q.28
Which of the following are the limitations of internal sources of
recruitment? (A) The scope for induction of fresh talent is reduced. (B)
Employees are motivated to improve their performance. (C) The employees
may not take challenging tasks if they are sure of time-bound promotions.
(D) Internal recruitment may boost the competitive environment in the
organisation.
Choose the correct answer from the options given below:"
Consumer Protection,consumer rights,consumer rights,36,23.400000000000002,19.2725,"Identify the Consumer Right - 'The consumer has the freedom to access variety of products at competitive prices. This implies that the marketer should offer a wide variety of products in terms of quality, brand, prices, size, etc.'"
Planning,types of plans,types of plans,35,22.75,21.71,"Q.23
List-I
List-II
Types of
Plan
Explanation"
Nature and Significance of Management,meaning and objectives,types of plans,32,20.8,19.0775,"Q.37
All the units of an organisation should move towards the same objectives
through coordinated and focused efforts. Identify this principle of
management."
Staffing,selection,selection,30,19.5,16.4775,"Q.33
Arrange the stages of the selection process in the correct sequence."
Organising,delegation,delegation,27,17.55,15.21,"Q.49
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
""Such a practice at Wipro further resulted in avoidance of duplication of
work and helps in preventing confusion and minimising wastage of
efforts"". Identify the significance of the function of management
highlighted in the aforesaid statement."
Staffing,training and development,training,26,16.900000000000002,15.015,"Q.4
Training is conducted away from the work floor"". Identify the type of
training"
Directing,Maslow hierarchy,maslow hierarchy,24,15.600000000000001,14.3975,"Q.20
Arrange the following needs of Maslow's need hierarchy theory in reverse
chronological order.

--- Page 5 ---"
Staffing,staffing process,recruitment,24,15.600000000000001,13.52,"Q.43
Read the following passage carefully and answer the given questions.
Apex Solutions, a mid-sized technology firm, recently embarked on a
mission to expand its workforce due to increased demand for its services.
The company's staffing process began with workforce planning, identifying
the need to hire 30 new employees across various departments, including
software development, sales, and customer support. The HR team outlined
the required qualifications, experience levels, and skill sets for each role.
 
The recruitment phase involved a mix of strategies. Apex Solutions posted
job advertisements on popular job boards and their company website.
They also leveraged employee referrals and collaborated with a recruitment
agency to attract a diverse pool of candidates. Within two weeks, they
received over 500 applications.
 
The selection process was meticulously designed to ensure the best fit.
Initial screening eliminated candidates who didn't meet the basic criteria.
Shortlisted candidates underwent online aptitude tests and technical
assessments. The top performers were invited for panel interviews, where
their problem-solving abilities, technical expertise, and cultural fit were
evaluated. Finally, background checks and reference verification were
conducted for the selected candidates.
 
By following a structured staffing process, Apex Solutions successfully
hired 30 new employees who aligned with the company's strategic goals.
This approach minimized hiring errors and enhanced team productivity.
What is one benefit Apex Solutions achieved through their staffing
process?"
Nature and Significance of Management,levels of management,management,23,14.950000000000001,13.6175,"Q.10
Which of the following statement is true regarding the nature of
Management?"
Marketing,promotion,promotion mix,22,14.3,12.675,"Q.11
""Companies use sales promotion tools specifically designed to promote,
like product combinations, dealer discounts and dealer incentives"".
Which tool of promotion is highlighted in the aforesaid statement?"
Principles of Management,Taylor scientific management,scientific management,22,14.3,13.325000000000001,The management principles given by F W Taylor are scientific in nature whereas management principles given by Henry Fayol are _________ in nature.
Controlling,control process,controlling,21,13.65,12.1875,Identify the correct sequence of Controlling process:
Business Environment,meaning and features,environment,20,13.0,11.375,"Q.26
List-I
List-II
Features of
Business
Environment
Example"
Marketing,marketing mix,marketing mix,20,13.0,11.895,"In the above case 'Just Foodie' is using various variables of Marketing Mix. Identify the variable used in the following statement: 'To make their products available to customers at right time, right place, they are also selling their products to grocery stores in addition to their own outlets.'"
Planning,planning process,types of plans,20,13.0,11.0825,"Q.5
Which management function involves setting objectives, developing
courses of action, and providing a rational approach for achieving
organizational goals, and is considered the first step in the management
process?
Options:"
Nature and Significance of Management,features of management,management,19,12.35,10.985,"Q.18
Which function of management is considered as the ""thinking function""?"
Organising,meaning and process,division of work,18,11.700000000000001,9.36,Identify the correct sequence of Organising function of management.
Principles of Management,Fayol principles,unity of command,18,11.700000000000001,10.2375,Match List-I with List-II on the basis of Management Principles
Principles of Management,techniques of scientific management,scientific management,18,11.700000000000001,9.2625,"The aim of which technique given by F.W. Taylor is to reduce a given line or a product to fixed types, sizes and characteristics?"
Directing,communication,communication,17,11.05,9.0025,What was a key element of Rajesh's communication?
Business Finance,working capital,working capital,16,10.4,7.2475000000000005,What does GreenTech prioritize in working capital management?
Organising,decentralisation,centralisation/decentralisation,16,10.4,9.7825,"Q.27 Match List-I with List-II
 
 
List-I
List-II"
Organising,organisation structure,structure,16,10.4,9.165000000000001,"Q.24
Organizational structure is the outcome of which process?"
Controlling,control process,performance,15,9.75,7.702500000000001,"Q.12
Choose the correct order of controlling process."
Directing,leadership,leadership style,15,9.75,7.702500000000001,"Q.22
Which of the following are correct statements regarding leadership?"
Consumer Protection,legal redressal,consumer redressal,14,9.1,6.76,If any of the parties are not satisfied by the order of _____ they can appeal against such order to the State Commission on the grounds of facts or law within a period of forty-five days from the date of order.
Marketing,marketing meaning,marketing,14,9.1,8.4825,"Q.36
The concept of marketing is based on the pillars arranged in the following
sequence:"
Principles of Management,Fayol principles,scalar chain,14,9.1,8.0275,"Q.6
Match List-I with List-II
List-I (Principle of
Management)
List-II (Description)"
Directing,communication,communication barriers,13,8.450000000000001,8.450000000000001,"Q.30
Which of the following are the communication barriers?"
Business Environment,dimensions,financial risk,12,7.800000000000001,6.5975,Which of the following is an example of legal environment?
