practice_id,section,chapter,subtopic,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,priority_tier,raw_score,source_basis
mock_5377e1892b98,Section A Common Core,Structured Query Language I,text functions,medium,definition-based,Which MySQL function converts a string to uppercase?,LCASE(),UPPER(),ROUND(),CURDATE(),B,UPPER() returns uppercase text.,Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_ee7289a26a1d,Section A Common Core,Structured Query Language II,COUNT star,medium,definition-based,COUNT(*) in SQL counts:,Only non-NULL values in one column,All selected rows,Only unique rows,Only text values,B,"COUNT(*) counts rows, including rows with NULL column values.",Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_614157389b1e,Section A Common Core,Structured Query Language II,GROUP BY HAVING ORDER BY,medium,query-concept,Which clause filters groups after GROUP BY?,WHERE,HAVING,ORDER BY,FROM,B,HAVING filters grouped results.,Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_f410042c24c8,Section A Common Core,Structured Query Language II,GROUP BY HAVING ORDER BY,medium,query-concept,Correct SQL clause order is:,"SELECT, WHERE, FROM, GROUP BY","SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY","FROM, SELECT, ORDER BY, WHERE","WHERE, SELECT, FROM, HAVING",B,This is the usual logical writing order in school-level SQL.,Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_4b432ad4f5bf,Section A Common Core,Structured Query Language II,aggregate functions,medium,definition-based,Which SQL function returns the number of rows?,SUM(),AVG(),COUNT(),MAX(),C,COUNT() is used for row counts.,Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_2b5734536c8e,Section A Common Core,Structured Query Language II,union intersection minus cartesian product join,medium,query-concept,"If table A has 3 rows and table B has 4 rows, A Cartesian product B has:",7 rows,12 rows,1 row,4 rows,B,Cartesian product row count is m x n.,Tier 1 = CS core,5.0,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_55f513e0b9f7,Section A Common Core,Structured Query Language I,DDL DQL DML,medium,definition-based,Which of the following is a DDL command?,INSERT,UPDATE,CREATE,SELECT,C,"CREATE changes schema, so it is DDL.",Tier 1 = CS core,4.95,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_bf48b68fd757,Section A Common Core,Structured Query Language I,INSERT UPDATE DELETE,medium,definition-based,Which SQL command is used to modify existing records?,ALTER,UPDATE,DROP,CREATE,B,UPDATE changes values in existing rows.,Tier 1 = CS core,4.95,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_c1d3699e4672,Section A Common Core,Structured Query Language I,SELECT FROM WHERE,medium,definition-based,Which SQL clause specifies the table from which records are retrieved?,WHERE,FROM,ORDER BY,HAVING,B,FROM names the table or tables used by the query.,Tier 1 = CS core,4.95,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_cbb29263aaae,Section A Common Core,Database Concepts,relational algebra selection projection union set difference cartesian product,medium,definition-based,Which relational algebra operation selects rows satisfying a condition?,Projection,Selection,Union,Cartesian product,B,Selection filters rows; projection selects columns.,Tier 1 = CS core,4.9,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
