source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review,normalized_question_key,exact_question_hash,canonical_question_id,source_tier,source_weight,year_weight,weighted_frequency_score,recency_weighted_score,duplicate_group_size,duplicate_source_urls
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,0185591f34083b6a27,70,"Q.10
Which of the following statement is true regarding the nature of
Management?",,,,,,,,,statement-based,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.43,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 10 which of the following statement is true regarding the nature of management,11b25b0dd48d85777dcb8983,cq_000001_11b25b0dd4,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16.0,,02a3b2bd25916dfb82,290,"Q.37
All the units of an organisation should move towards the same objectives
through coordinated and focused efforts. Identify this principle of
management.",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no,q 37 all the units of an organisation should move towards the same objectives through coordinated and focused efforts identify this principle of management,43cc01710cf9193e95018ac7,cq_000002_43cc01710c,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27.0,,02a536f6131cbaee38,154,"Q.20
Arrange the following needs of Maslow's need hierarchy theory in reverse
chronological order.

--- Page 5 ---",,,Security needs,Esteem needs,Self actualisation needs,Affiliation needs Choose the correct answer from the options given below:,,,chronology,easy,Unit VII,Directing,Maslow hierarchy,"maslow, esteem, self actualisation",Directing :: Maslow hierarchy,0.73,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no,q 20 arrange the following needs of maslow s need hierarchy theory in reverse chronological order page 5 security needs esteem needs self actualisation needs affiliation needs choose the from the options given below,20931de8556a5a6c3cbf3e29,cq_000003_20931de855,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16.0,,d0a3ddbcccb8a837a9,330,"Q.42
Read the passage and answer the following questions.
 

--- Page 10 ---
Wipro Technologies, one of India's largest IT solutions providers,
restructured its organization in its bid to compete globally with giants like
IBM and Accenture. This restructuring aimed to improve customer
orientation and operational efficiency, critical to Wipro's ambition of
becoming a global technology leader.
 
The company transitioned from a centralized management system to a
decentralized structure, dividing its operations into several self-sufficient
subsidiaries focused on specific product lines, such as
telecommunications, engineering, and financial services. Each subsidiary
operates independently, managing its personnel, accounting, and
administrative functions. This decentralization empowered business
leaders to take greater responsibility for growth and eliminated an entire
layer of executives to streamline operations.
 
Azim Premji, Wipro's then-chairman, emphasized the importance of this
shift, noting that it gave leaders more autonomy and enhanced decision-
making at the operational level. This organizational change helped Wipro
achieve specialization and allowed better alignment of resources with
customer needs.
 
Despite the advantages of decentralization, including flexibility, faster
decision-making, and enhanced accountability, it also posed challenges,
such as coordination among subsidiaries and maintaining consistency in
strategic objectives. Wipro addressed these challenges by clearly defining
roles and responsibilities across its new structure.
What significant organizational change did Wipro make during
restructuring?",,,,,,,,,case-based,medium,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no,q 42 read the passage and the following questions page 10 wipro technologies one of india s largest it solutions providers restructured its organization in its bid to compete globally with giants like ibm and accenture this restructuring aimed to improve customer orientation and operational efficiency critical to wipro s ambition of becoming a global technology leader the company transitioned from a centralized management system to a decentralized structure dividing its operations into several self sufficient subsidiaries focused on specific product lines such as telecommunications engineering and financial services each subsidiary operates independently managing its personnel accounting and administrative functions this decentralization empowered leaders to take greater responsibility for growth and eliminated an entire layer of executives to streamline operations azim premji wipro s then chairman emphasized the importance of this shift noting that it gave leaders more autonomy and enhanced decision making at the operational level this organizational change helped wipro achieve specialization and allowed better alignment of resources with customer needs despite the advantages of decentralization including flexibility faster decision making and enhanced accountability it also posed challenges such as coordination among subsidiaries and maintaining consistency in strategic objectives wipro addressed these challenges by clearly defining roles and responsibilities across its new structure what significant organizational change did wipro make during restructuring,3b53ac540f3bf1908dc3e242,cq_000004_d8b9d61134,structured_pyq_site,0.65,1.0,0.65,0.65,5,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,04f31ccb71169ca027,326,"Q.42
Read the passage and answer the following questions:
 
Aroma Coffee House, a boutique café, aims to expand its brand by
focusing on the marketing mix. The product is its artisanal coffee, known
for unique flavors and organic ingredients. The café ensures appealing
packaging, using recyclable and aesthetically designed coffee bags to
align with eco-conscious consumers. Its branding strategy emphasizes
sustainability and local community support, making it a trusted choice.
 
The pricing is premium, reflecting the high quality of the coffee be",,,,,,,A,Dubuddy CUET Business Studies solved papers linked file,direct,easy,Unit X,Marketing,product,"product, branding, packaging",Marketing :: product,0.77,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 42 read the passage and the following questions aroma coffee house a boutique caf aims to expand its brand by focusing on the marketing mix the product is its artisanal coffee known for unique flavors and organic ingredients the caf ensures appealing packaging using recyclable and aesthetically designed coffee bags to align with eco conscious consumers its branding strategy emphasizes sustainability and local community support making it a trusted choice the pricing is premium reflecting the high quality of the coffee be,16eeb87246e1753405e19f91,cq_000005_16eeb87246,structured_pyq_site,0.65,1.0,0.65,0.65,5,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,08b4c3c156b779cd45,246,"Q.32
Which of the following is NOT an aspect of staffing?",,,,,,,,,direct,easy,Unit VI,Staffing,meaning and importance,staffing,Staffing :: meaning and importance,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 32 which of the following is not an aspect of staffing,1409c142aab472dab1f426ab,cq_000006_1409c142aa,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16.0,ting,09769d92f14e9a630a,90,"Q.12
Choose the correct order of controlling process.",,,Comparison of actual performance with standards,Setting performance standards & measurement of actual performance,Taking corrective action,Analysing deviations Choose the correct answer from the options given below:,,,chronology,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no,q 12 choose the order of controlling process comparison of actual performance with standards setting performance standards and measurement of actual performance taking corrective action analysing deviations choose the from the options given below,9bf3ad1ce568c5b44d43f353,cq_000007_9bf3ad1ce5,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22.0,,097cb57def7a08d914,146,"Q.19
The senior-most executives of the organisation are usually referred to as
the chairman, the chief executive officer, chief operating officer, president
and vice-president. They belong to which level of management?",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no,q 19 the senior most executives of the organisation are usually referred to as the chairman the chief executive officer chief operating officer president and vice president they belong to which level of management,ed220d2a7f6304d18e790557,cq_000008_ed220d2a7f,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27.0,,09f40146f91cf07201,106,"Q.14
Which of the following is a comprehensive plan for accomplishing
organizational objectives?",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,objectives,Nature and Significance of Management :: meaning and objectives,0.47,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no,q 14 which of the following is a comprehensive plan for accomplishing organizational objectives,c1d969901f04adf64dc9a39a,cq_000009_c1d969901f,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27.0,,0b6eccbbca699bb04d,26,"Q.4
Which of the following is concerned with obtaining, utilizing and
maintaining a satisfactory and satisfied work force?",,,,,,,,,direct,easy,Unit II,Principles of Management,Fayol principles,,Principles of Management :: Fayol principles,0.17,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,yes,q 4 which of the following is concerned with obtaining utilizing and maintaining a satisfactory and satisfied work force,c7e2a14e1f46409dbc43dbfd,cq_000010_c7e2a14e1f,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
