canonical_question_id,chapter,subtopic,ncert_heading,ncert_page,ncert_paragraph,ncert_concept,concept_type,question_pattern,micro_concept,final_confidence,needs_review
cq_000001_11b25b0dd4,Nature and Significance of Management,levels of management,Levels Of Management,,,top level; middle level; supervisory; operational management; levels of management,definition,statement true/false,management,0.69,true
cq_000002_43cc01710c,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,principle-identification,types of plans,0.99,false
cq_000003_20931de855,Directing,Maslow hierarchy,Maslow Hierarchy,,,maslow; physiological; safety; belongingness; esteem; self actualisation,definition,chronology/process order,maslow hierarchy,0.91,false
cq_000004_d8b9d61134,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,definition-based,delegation,0.65,true
cq_000005_16eeb87246,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,definition-based,product mix,0.87,false
cq_000006_1409c142aa,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,feature-identification,staffing,0.83,false
cq_000007_9bf3ad1ce5,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,chronology/process order,performance,0.92,false
cq_000008_ed220d2a7f,Nature and Significance of Management,levels of management,Levels Of Management,,,top level; middle level; supervisory; operational management; levels of management,definition,definition-based,management,0.66,true
cq_000009_c1d969901f,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,definition-based,types of plans,0.99,false
cq_000010_c7e2a14e1f,Principles of Management,Fayol principles,Fayol Principles,,,fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,principle,definition-based,principles,0.53,true
cq_000011_c6c21691ed,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,definition-based,types of plans,0.75,true
cq_000012_cda2075649,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,definition-based,types of plans,0.93,false
cq_000013_c56c0a4019,Nature and Significance of Management,features of a profession,Features Of A Profession,,,,feature,feature-identification,features,0.33,true
cq_000014_f368bee175,Entrepreneurship Development,process,Process,,,sensing opportunity; environment scanning; feasibility study; business plan; enterprise launch; growth,process,definition-based,process,0.55,true
cq_000015_c911d5af7b,Entrepreneurship Development,entrepreneurship in India,Entrepreneurship In India,,,startup; msme; self employment; economic development,definition,definition-based,entrepreneurship,0.89,false
cq_000016_e958a5b882,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,definition-based,delegation,0.57,true
cq_000017_70426df216,Planning,meaning and features,Meaning And Features,,,planning; primary function; intellectual process; future oriented; pervasive,process,definition-based,planning,0.72,true
cq_000018_121dcdd5b4,Organising,meaning and process,Meaning And Process,,,organising; identification of activities; departmentalisation; assignment of duties; reporting relationships,process,chronology/process order,process,0.71,true
cq_000019_2bb51e82ab,Organising,decentralisation,Decentralisation,,,decentralisation; centralisation; decision making authority; initiative,definition,match-the-following,centralisation/decentralisation,0.59,true
