chapter,subtopic,priority_tier,dominant_question_pattern,how_to_study_it,representative_pyqs,common_traps,ncert_heading_to_revise
Controlling,control process,Tier 1 = Must do,definition-based,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Q.24 Identify the advantage of Critical Point Control and Management by Exception. || ""Controlling should focus on Key Result Areas which are critical to the success of an organization"" is suggested under which of the following concepts? || Arrange the steps of the controlling process in a logical sequence. (A) Corrective action might involve training of employees if the production target could not be met. (B) Setting standards of performance (C) Performanc || Arrange the steps in Controlling Process in correct sequence:  <ol> <li>(A) Analysing Deviations</li>  <li>(B) Measurement of Actual Performance</li>  <li>(C) Setting Performance Standards</li>  <li>(D) Comparing actual  || Identify the advantage of Critical Point Control and Management by Exception.",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Control Process
Nature and Significance of Management,meaning and objectives,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.37 All the units of an organisation should move towards the same objectives through coordinated and focused efforts. Identify this principle of management. || Q.14 Which of the following is a comprehensive plan for accomplishing organizational objectives? || Planning is an important function of management which involves defining the following:    (A) Setting objectives   (B) Deciding on plans, actions and strategies to achieve organisational goals   (C) Allocating and arrang || ""Management is the process of working with and through others to effectively achieve organisational objectives by efficiently using limited resources in the changing environment."". Who gave this definition of management? || Which of the following are the components of personnel objectives of management? (A) Competitive salaries and perks (B) Survival of the organisation (C) Personal growth and development (D) Profit maximisation  Choose the",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Objectives
Business Environment,dimensions,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.24 It is difficult to understand the impact of social, economic, political or legal factors on change in demand of a product in the market. Which feature of the business environment is indicated here? || Under which dimension of business environment is 'Online Booking of Air Tickets' included? || Which of the following is an example of economic environment? || Which of the following is an example of legal environment? || Match List-I with List-II  | List-I | List-II | | --- | --- | | Business Environment | Dimension | | (A) Economic | (I) KYC compliance is mandatory in mutual funds investment | | (B) Social | (II) Construction companies ",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Dimensions
Nature and Significance of Management,features of management,Tier 1 = Must do,feature-identification,Revise feature lists and practise eliminating options that are true but from another chapter.,"Management always works by keeping an end result or aim of the organisation. All activities of managers are directed towards these aims.' From the above statement, identify the feature of management. || AMPM is a reputed wristwatch company. Foreseeing the changing trend, the management of the company decided to manufacture smartwatches. This feature of management suggests that: || A firm is planning to increase its sales by 25% in the next quarter. Identify the feature of Management being highlighted. || Which of the following statements are correct?  (A) Management is all pervasive.  (B) Management is multidimensional.  (C) Management is a group activity.  (D) Management is an intangible force.  Choose the correct answe || Which of the following is NOT a feature of management?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Features Of Management
Principles of Management,Fayol principles,Tier 1 = Must do,principle-identification,"Learn the exact principle names, keywords, and one business example for each.",Q.6 Match List-I with List-II List-I (Principle of Management) List-II (Description) || Match List-I with List-II on the basis of Management Principles || Match List-I with List-II  | List-I | List-II | | --- | --- | | Principles | Statement | | --- | --- | | (A) Equity | (I) To ensure obedience to organizational rules | | (B) Unity of direction | (II) Kindliness and justi || Which of the following terms represents the number of subordinates that a superior can effectively manage? || Which of the following principles are taken from the 14-Principles suggested by Henry Fayol?  (A) Discipline  (B) Scalar Chain  (C) Stability of the business organisation  (D) Equity  Choose the <b>correct</b> answer fro,mixing unity of command with unity of direction,Fayol Principles
Principles of Management,Taylor scientific management,Tier 1 = Must do,principle-identification,"Learn the exact principle names, keywords, and one business example for each.","Identify the Principle of Management where Taylor pioneered the introduction of method of scientific inquiry into the domain of management practice. || The management principles given by F W Taylor are scientific in nature whereas management principles given by Henry Fayol are _________ in nature. || Who gave the concepts of 'mental revolution' and 'Harmony, Not Discord'? || Which of the following are not the correct differences between Fayol's principle of management and Taylor's principle of scientific management? (A) Fayol's principles are applicable in specialized situations, but Taylor' || ""Management should not close its ears to any constructive suggestions made by the employees"". Which principle of Scientific Management is referred here?",mixing unity of command with unity of direction,Taylor Scientific Management
Consumer Protection,consumer rights,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.25 ""Electrical appliances which are manufactured with substandard products or do not conform to the safety norms might cause serious injury. Thus, consumers are educated that they should use electrical appliances which || Identify the Consumer Right - 'The consumer has the freedom to access variety of products at competitive prices. This implies that the marketer should offer a wide variety of products in terms of quality, brand, prices,  || Match List-I with List-II  | List-I | List-II | | --- | --- | | Consumer Rights <th>(Explanation) </th> | (Explanation) | | --- | --- | | (A) Right to be informed | (I) The right to be a well-informed consumer throughout || Match List-I with List-II  | List-I | List-II | | --- | --- | | <b>Consumer Rights</b> | <b>Statement</b> | | (A) Right to be informed | (I) Manufacturing date, ingredients, price, quantity of the product etc. | | (B) Ri || Which of the following is NOT a Right under the Consumer Protection Act 2019?",mixing consumer rights with responsibilities and redressal bodies,Consumer Rights
Directing,meaning and importance,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which of the following is a process of incitement or inducing subordinates to act in a desired manner to achieve organisational goals? || _____ is a process of influencing the behaviour of people by making them strive voluntarily towards achievement of organisational goals || Which of the following can NOT be considered as an element of directing? || Which of the following is not believed to be a mere issue of communication but encompasses many elements like supervision, motivation and leadership? || Which of the following is NOT an element of directing?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Importance
Entrepreneurship Development,need and characteristics,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which is not a need identified by Abraham Maslow? || Which of the following is not a part of entrepreneurial motivation? || The following are part of entrepreneurial motivation, except:  1. Need for Achievement (N-Ach.) 2. Need for Power (N-Pow) 3. Need for Affiliation (N-Aff.) 4. Need for Profit (N-Pro) || Identify the concept which implies ""a desire to accomplish something difficult""? || Which of the following is not included in Entrepreneurial motivation?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Need And Characteristics
Organising,organisation structure,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.24 Organizational structure is the outcome of which process? || Q.5 Which structure among the following is an organizational design that groups similar or related jobs together for occupational specialization? || Q.4 Which organizational structure consists of separate business units? || __________ comprises of separate business units or divisions wherein each unit has a manager responsible for performance and who has authority over the unit. || Which of the following are the disadvantages of Functional Structure?  (A) A functional structure leads to occupational specialisation, since emphasis is placed on specific functions  (B) It may lead to problems in coord",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Organisation Structure
Planning,planning process,Tier 1 = Must do,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Q.21 Choose the correct order of planning process. || Identify the correct sequence of steps under the Planning function || In business, a manager is required to make certain assumptions about the future regarding a particular product, demand of that product, tax rates etc. This is called: || Rita has been promoted as the planning head and the company is planning to launch a new product. What will be the correct sequence of the steps in the planning of the new product? || Identify the correct sequence of steps in the Planning Process:  (A) Evaluating alternative courses  (B) Implementing the plan  (C) Selecting an alternative  (D) Follow-up action  Choose the correct answer from the optio","mixing policy, procedure, method, rule, programme, and budget",Planning Process
